Timestamp,Your NetID,One thing you like about this visualization:,One thing you think is in need of improvement in this visualization:,One suggestion you have for the visualization designers:
5/3/2019 11:22:05,eat84,I like how the marks and channels are visualized sequentially/smoothly,Not sure what the points represent,Consider a mouseover on the points to explain each mark
5/3/2019 11:25:47,mjb485,Cool animations!,Understanding exactly what diffusion means in relation to the dot topics,Larger dots!
5/3/2019 11:27:03,bfd27,great visualization showing great data points,could color the graph with a more user-friendly color,recolor the graph 
5/3/2019 11:27:11,hl566,"It's very visually pleasing, and the animations are perfect speed too",Explain what diffusion is,maybe have a color legend for the different categories 
5/3/2019 11:27:24,ntm27,The colors,The legend needs better spacing (scatterplot),Add more detail/explanation
5/3/2019 11:27:27,chc94,The fluidity in animation,Make it smaller so that it fits on a zoom of 100%,"When it comes down to it, the animation coded for this visualization does not bring any clarity or purpose."
5/3/2019 11:27:37,kav53,like the animation,maybe could make it a little bit slower,"make dots bigger
"
5/3/2019 11:27:46,ro99,cool transitions of labels & graph elements,constant movement is sort of difficult to understand,have a button to change certain variables with the same animation
5/3/2019 11:27:49,ras533,I like the animation and contrast of colors; it's very engaging and entertaining to watch. I like how the green plotted area grows and then the side bar moves.,"I think the whole animation needs to happen faster - I just kept scrolling expecting more things and didn't think there was anything in the visualization, and then the animation caught me by surprise. So the transition between the side bar moving and the diffusion bar appearing is a bit slow.",Maybe make the graph a bit smaller? I'm on full-screen for a 13-inch and can't completely see everything; right side gets cut off a teeny bit
5/3/2019 11:27:55,gar224,I think that the visualization moving is really cool,I think the numbers need to be bigger or there needs to be away to control the animation part so that people have enough time to take the data in,Maybe make the numbers bigger
5/3/2019 11:28:08,az428,Like the animations/transitions ,An intuitive legend for the data point colors,"Interactivity with the user rather than having the animation play on its own, so user can see visualizations at own pace"
5/3/2019 11:28:15,mdn53,really nice animation,users can't really interact with visualization,should make it interactacble rather than just animation. Maybe sliders or buttons
5/3/2019 11:28:18,ml944,Nice animations,More text to describe what's going on,Maybe add some hover interactions
5/3/2019 11:28:26,jls628,I really like the animation in providing context and understanding of the data! ,It's not clear that the categories are clickable. Maybe change the color a bit on mouseover? ,It may be helpful to add interactivity to the graph after the animation is done so that the user can hone in on details they find interesting. Things like mouseover on points can help a lot. 
