TIME,Value,,,,,,,,
1913,"13,674",,,,,,,,
1914,"13,359",,,,,,,,
1915,"13,488",,,,,,,,
1916,"14,674",,,,,,,,
1917,"14,945",,,,,,,,
1918,"14,145",,,,,,,,
1919,"13,853",,,,,,,,
1920,"12,354",,,,,,,,
1921,"10,900",,,,,,,,
1922,"12,307",,,,,,,,
1923,"13,689",,,,,,,,
1924,"13,525",,,,,,,,
1925,"13,659",,,,,,,,
1926,"13,808",,,,,,,,
1927,"13,909",,,,,,,,
1928,"14,201",,,,,,,,
1929,"14,806",,,,,,,,
1930,"13,419",,,,,,,,
1931,"12,175",,,,,,,,
1932,"10,241",,,,,,,,
1933,"9,978",,,,,,,,
1934,"10,964",,,,,,,,
1935,"11,872",,,,,,,,
1936,"13,034",,,,,,,,
1937,"13,667",,,,,,,,
1938,"12,566",,,,,,,,
1939,"13,391",,,,,,,,
1940,"14,026",,,,,,,,
1941,"16,394",,,,,,,,
1942,"19,053",,,,,,,,
1943,"22,023",,,,,,,,
1944,"21,761",,,,,,,,
1945,"21,300",,,,,,,,
1946,"21,437",,,,,,,,
1947,"20,702",,,,,,,,
1948,"21,073",,,,,,,,
1949,"20,810",,,,,,,,
1950,"22,466",,,,,,,,
1951,"23,146",,,,,,,,
1952,"23,885",,,,,,,,
1953,"24,949",,,,,,,,
1954,"24,646",,,,,,,,
1955,"26,340",,,,,,,,
1956,"27,709",,,,,,,,
1957,"27,835",,,,,,,,
1958,"26,983",,,,,,,,
1959,"28,605",,,,,,,,
1960,"28,928",,,,,,,,
1961,"29,267",,,,,,,,
1962,"30,335",,,,,,,,
1963,"31,096",,,,,,,,
1964,"32,595",,,,,,,,
1965,"33,931",,,,,,,,
1966,"35,433",,,,,,,,
1967,"36,293",,,,,,,,
1968,"37,483",,,,,,,,
1969,"38,030",,,,,,,,
1970,"38,239",,,,,,,,
1971,"38,135",,,,,,,,
1972,"39,716",,,,,,,,
1973,"40,541",,,,,,,,
1974,"39,327",,,,,,,,
1975,"37,253",,,,,,,,
1976,"38,149",,,,,,,,
1977,"38,527",,,,,,,,
1978,"39,248",,,,,,,,
1979,"39,209",,,,,,,,
1980,"38,158",,,,,,,,
1981,"37,829",,,,,,,,
1982,"37,071",,,,,,,,
1983,"36,704",,,,,,,,
1984,"37,940",,,,,,,,
1985,"38,612",,,,,,,,
1986,"39,128",,,,,,,,
1987,"40,229",,,,,,,,
1988,"42,223",,,,,,,,
1989,"42,092",,,,,,,,
1990,"41,796",,,,,,,,
1991,"40,600",,,,,,,,
1992,"40,940",,,,,,,,
1993,"40,337",,,,,,,,
1994,"41,048",,,,,,,,
1995,"42,226",,,,,,,,
1996,"43,205",,,,,,,,
1997,"44,916",,,,,,,,
1998,"47,100",,,,,,,,
1999,"48,952",,,,,,,,
2000,"49,735",,,,,,,,
2001,"48,567",,,,,,,,
2002,"46,715",,,,,,,,
2003,"46,074",,,,,,,,
2004,"47,322",,,,,,,,
2005,"48,356",,,,,,,,
2006,"49,645",,,,,,,,
2007,"50,511",,,,,,,,
2008,"49,879",,,,,,,,
2009,"48,314",,,,,,,,
2010,"47,364",,,,,,,,
2011,"46,334",,,,,,,,
2012,"46,154",,,,,,,,
2013,"46,259",,,,,,,,
2014,"46,713",,,,,,,,
2015,"48,474",,,,,,,,
2016,"49,437",,,,,,,,
