Entity,Category,Year,Diffusion
Electric power,Household,1913,0.18
Landline,Communication,1913,0.28
Stove,Household,1913,0.17
Electric power,Household,1914,0.19
Landline,Communication,1914,0.29
Stove,Household,1914,0.17
Automobile,Transportation,1915,0.1
Electric power,Household,1915,0.2
Landline,Communication,1915,0.3
Stove,Household,1915,0.18
Automobile,Transportation,1916,0.12
Electric power,Household,1916,0.22
Landline,Communication,1916,0.31
Stove,Household,1916,0.1833
Automobile,Transportation,1917,0.17
Electric power,Household,1917,0.24
Landline,Communication,1917,0.32
Stove,Household,1917,0.1867
Automobile,Transportation,1918,0.19
Electric power,Household,1918,0.27
Landline,Communication,1918,0.33
Stove,Household,1918,0.19
Automobile,Transportation,1919,0.23
Electric power,Household,1919,0.3
Landline,Communication,1919,0.34
Stove,Household,1919,0.195
Automobile,Transportation,1920,0.28
Central heating,Household,1920,0.01
Electric power,Household,1920,0.335
Flush toilet,Household,1920,0.2
Landline,Communication,1920,0.34
Stove,Household,1920,0.2
Automobile,Transportation,1921,0.31
Electric power,Household,1921,0.37
Landline,Communication,1921,0.35
Stove,Household,1921,0.22
Automobile,Transportation,1922,0.34
Dishwasher,Household,1922,0.011
Electric power,Household,1922,0.4
Landline,Communication,1922,0.35
Stove,Household,1922,0.23
Vacuum,Household,1922,0.315
Automobile,Transportation,1923,0.39
Dishwasher,Household,1923,0.01
Electric power,Household,1923,0.43
Landline,Communication,1923,0.37
Stove,Household,1923,0.24
Vacuum,Household,1923,0.335
Automobile,Transportation,1924,0.44
Dishwasher,Household,1924,0.018
Electric power,Household,1924,0.49
Landline,Communication,1924,0.37
Stove,Household,1924,0.25
Vacuum,Household,1924,0.357
Automobile,Transportation,1925,0.49
Electric power,Household,1925,0.52
Landline,Communication,1925,0.38
Radio,Communication,1925,0.1
Refrigerator,Household,1925,0.01
Stove,Household,1925,0.275
Vacuum,Household,1925,0.36
Automobile,Transportation,1926,0.54
Electric power,Household,1926,0.55
Landline,Communication,1926,0.39
Radio,Communication,1926,0.17
Refrigerator,Household,1926,0.024
Stove,Household,1926,0.3
Vacuum,Household,1926,0.371
Automobile,Transportation,1927,0.56
Electric power,Household,1927,0.6
Landline,Communication,1927,0.39
Radio,Communication,1927,0.19
Refrigerator,Household,1927,0.043
Stove,Household,1927,0.32
Vacuum,Household,1927,0.388
Automobile,Transportation,1928,0.58
Electric power,Household,1928,0.64
Landline,Communication,1928,0.41
Radio,Communication,1928,0.28
Refrigerator,Household,1928,0.064
Stove,Household,1928,0.34
Vacuum,Household,1928,0.405
Automobile,Transportation,1929,0.585
Electric power,Household,1929,0.68
Landline,Communication,1929,0.41
Radio,Communication,1929,0.36
Refrigerator,Household,1929,0.094
Stove,Household,1929,0.35
Vacuum,Household,1929,0.436
Automobile,Transportation,1930,0.59
Electric power,Household,1930,0.68
Landline,Communication,1930,0.395
Radio,Communication,1930,0.45
Refrigerator,Household,1930,0.128
Stove,Household,1930,0.36
Vacuum,Household,1930,0.445
Washing machine,Household,1930,0.1
Automobile,Transportation,1931,0.56
Dishwasher,Household,1931,0.006
Electric power,Household,1931,0.68
Flush toilet,Household,1931,0.51
Household refrigerator,Household,1931,0.1
Landline,Communication,1931,0.38
Radio,Communication,1931,0.52
Refrigerator,Household,1931,0.171
Stove,Household,1931,0.37
Vacuum,Household,1931,0.454
Washing machine,Household,1931,0.12
Automobile,Transportation,1932,0.53
Electric power,Household,1932,0.67
