LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
USA,HHDI,GROSSADJ,USD_CAP,A,1970,4108.264154,
USA,HHDI,GROSSADJ,USD_CAP,A,1971,4439.296487,
USA,HHDI,GROSSADJ,USD_CAP,A,1972,4773.34483,
USA,HHDI,GROSSADJ,USD_CAP,A,1973,5280.441429,
USA,HHDI,GROSSADJ,USD_CAP,A,1974,5743.785094,
USA,HHDI,GROSSADJ,USD_CAP,A,1975,6336.897375,
USA,HHDI,GROSSADJ,USD_CAP,A,1976,6828.054822,
USA,HHDI,GROSSADJ,USD_CAP,A,1977,7428.269573,
USA,HHDI,GROSSADJ,USD_CAP,A,1978,8207.056969,
USA,HHDI,GROSSADJ,USD_CAP,A,1979,9013.901242,
USA,HHDI,GROSSADJ,USD_CAP,A,1980,9925.958248,
USA,HHDI,GROSSADJ,USD_CAP,A,1981,10914.92259,
USA,HHDI,GROSSADJ,USD_CAP,A,1982,11603.37445,
USA,HHDI,GROSSADJ,USD_CAP,A,1983,12348.29092,
USA,HHDI,GROSSADJ,USD_CAP,A,1984,13514.3283,
USA,HHDI,GROSSADJ,USD_CAP,A,1985,14254.35354,
USA,HHDI,GROSSADJ,USD_CAP,A,1986,14992.6677,
USA,HHDI,GROSSADJ,USD_CAP,A,1987,15714.40466,
USA,HHDI,GROSSADJ,USD_CAP,A,1988,16930.00089,
USA,HHDI,GROSSADJ,USD_CAP,A,1989,18020.53525,
USA,HHDI,GROSSADJ,USD_CAP,A,1990,18988.27836,
USA,HHDI,GROSSADJ,USD_CAP,A,1991,19504.81581,
USA,HHDI,GROSSADJ,USD_CAP,A,1992,20590.5504,
USA,HHDI,GROSSADJ,USD_CAP,A,1993,21196.44809,
USA,HHDI,GROSSADJ,USD_CAP,A,1994,21968.69815,
USA,HHDI,GROSSADJ,USD_CAP,A,1995,22841.10364,
USA,HHDI,GROSSADJ,USD_CAP,A,1996,23713.82913,
USA,HHDI,GROSSADJ,USD_CAP,A,1997,24670.9548,
USA,HHDI,GROSSADJ,USD_CAP,A,1998,25998.9401,
USA,HHDI,GROSSADJ,USD_CAP,A,1999,27012.64014,
USA,HHDI,GROSSADJ,USD_CAP,A,2000,28729.47416,
USA,HHDI,GROSSADJ,USD_CAP,A,2001,29894.58962,
USA,HHDI,GROSSADJ,USD_CAP,A,2002,31030.64252,
USA,HHDI,GROSSADJ,USD_CAP,A,2003,32297.94408,
USA,HHDI,GROSSADJ,USD_CAP,A,2004,33982.09055,
USA,HHDI,GROSSADJ,USD_CAP,A,2005,35255.01523,
USA,HHDI,GROSSADJ,USD_CAP,A,2006,37246.27629,
USA,HHDI,GROSSADJ,USD_CAP,A,2007,38571.17978,
USA,HHDI,GROSSADJ,USD_CAP,A,2008,40025.95605,
USA,HHDI,GROSSADJ,USD_CAP,A,2009,39573.47162,
USA,HHDI,GROSSADJ,USD_CAP,A,2010,40321.65312,
USA,HHDI,GROSSADJ,USD_CAP,A,2011,41894.42106,
USA,HHDI,GROSSADJ,USD_CAP,A,2012,43568.64832,
USA,HHDI,GROSSADJ,USD_CAP,A,2013,43395.16196,
USA,HHDI,GROSSADJ,USD_CAP,A,2014,45278.26429,
USA,HHDI,GROSSADJ,USD_CAP,A,2015,46881.08846,
USA,HHDI,GROSSADJ,USD_CAP,A,2016,47801.33193,
